#gene_list: list_Tnochange.txt#RNAstr.filter: S|minL|maxL : 0|20|1000
#OVERLAPfilter: gene|feat|cover. : 1|2|1
#Noverlap_genes/Nmapped_genes/Nlist_genes: 81/150/150
#NoverlapRNAcoords/RNAunique_coords/TOT_RNAs: 195/51118/51366
#
#LOCUS	type	chr	start	stop	strand/S	L	TOT_RNAcoords
vf_2_13498	RNA	2	11753627	11753650	175	23	-
AT2G29020.1	protein_coding_gene	2	12469724	12471700	+	1977	1
vf_2_18244	RNA	2	12470668	12470697	193	29	-
AT2G29400.1	protein_coding_gene	2	12613081	12615399	-	2319	3
vf_2_19537	RNA	2	12613818	12613937	164	119	-
ef_2_19539	RNA	2	12614090	12614135	122	45	-
vf_2_19544	RNA	2	12614439	12614527	194	88	-
AT2G31350.1	protein_coding_gene	2	13368292	13371057	+	2766	1
vf_2_26542	RNA	2	13369435	13369490	195	55	-
AT2G36130.1	protein_coding_gene	2	15166773	15168497	+	1725	3
vf_2_41990	RNA	2	15166890	15166918	305	28	-
ef_2_41993	RNA	2	15167375	15167395	102	20	-
vf_2_41995	RNA	2	15167839	15167883	175	44	-
AT2G37410.1	protein_coding_gene	2	15697834	15699275	-	1442	1
ef_2_46317	RNA	2	15698717	15698818	425	101	-
AT2G39770.1	protein_coding_gene	2	16588696	16591032	+	2337	4
vf_2_53148	RNA	2	16589828	16589943	238	115	-
vf_2_53152	RNA	2	16590160	16590371	156	211	-
vf_2_53153	RNA	2	16590392	16590639	204	247	-
ef_2_53153	RNA	2	16590400	16590544	130	144	-
AT2G42310.1	protein_coding_gene	2	17625212	17625889	+	678	1
vf_2_61666	RNA	2	17625407	17625541	315	134	-
AT3G04400.1	protein_coding_gene	3	1167276	1168659	+	1384	4
vf_3_144190	RNA	3	1167629	1167661	402	32	-
ef_3_144190	RNA	3	1167629	1167661	208	32	-
vf_3_144191	RNA	3	1167670	1167701	158	31	-
vf_3_144193	RNA	3	1167744	1167793	275	49	-
vf_3_144198	RNA	3	1168277	1168303	209	26	-
AT3G06270.1	protein_coding_gene	3	1896137	1898034	+	1898	4
ef_3_39638	RNA	3	1897156	1897226	172	70	-
vf_3_39641	RNA	3	1897320	1897358	165	38	-
vf_3_39645	RNA	3	1897540	1897560	196	20	-
vf_3_39648	RNA	3	1897766	1897862	164	96	-
AT3G09500.1	protein_coding_gene	3	2916952	2918108	+	1157	1
vf_3_87598	RNA	3	2917220	2917274	448	54	-
AT3G12120.1	protein_coding_gene	3	3860285	3863050	-	2766	7
vf_3_98088	RNA	3	3860731	3860845	229	114	-
vf_3_98090	RNA	3	3860895	3860940	161	45	-
vf_3_98095	RNA	3	3861139	3861176	277	37	-
vf_3_98097	RNA	3	3861268	3861297	163	29	-
vf_3_98098	RNA	3	3861298	3861348	153	50	-
ef_3_98099	RNA	3	3861396	3861466	121	70	-
vf_3_98103	RNA	3	3861601	3861634	181	33	-
AT3G16640.1	protein_coding_gene	3	5669373	5670842	-	1470	3
vf_3_112691	RNA	3	5669716	5669762	158	46	-
ef_3_112694	RNA	3	5670005	5670033	100	28	-
vf_3_112695	RNA	3	5670071	5670108	177	37	-
AT3G16850.1	protein_coding_gene	3	5748570	5751297	+	2728	3
vf_3_113277	RNA	3	5749525	5749626	231	101	-
vf_3_113282	RNA	3	5750015	5750058	184	43	-
vf_3_113288	RNA	3	5750472	5750504	301	32	-
AT3G17100.1	protein_coding_gene	3	5831194	5832419	+	1226	1
ef_3_113910	RNA	3	5832051	5832104	165	53	-
AT3G18780.2	protein_coding_gene	3	6474842	6477204	+	2363	11
vf_3_121220	RNA	3	6475538	6475591	224	53	-
vf_3_121221	RNA	3	6475611	6475654	339	43	-
vf_3_121222	RNA	3	6475664	6475845	357	181	-
ef_3_121222	RNA	3	6475676	6475855	274	179	-
vf_3_121225	RNA	3	6476135	6476169	302	34	-
vf_3_121226	RNA	3	6476194	6476523	304	329	-
ef_3_121226	RNA	3	6476276	6476374	225	98	-
vf_3_121227	RNA	3	6476529	6476581	244	52	-
ef_3_121227	RNA	3	6476548	6476582	142	34	-
ef_3_121228	RNA	3	6476605	6476678	190	73	-
vf_3_121229	RNA	3	6476769	6476831	250	62	-
AT3G24120.2	protein_coding_gene	3	8705636	8708315	-	2680	1
vf_3_137456	RNA	3	8707958	8707981	470	23	-
AT3G24506.1	protein_coding_gene	3	8928169	8929329	-	1161	2
vf_3_138833	RNA	3	8928461	8928499	240	38	-
vf_3_138835	RNA	3	8929028	8929076	252	48	-
AT3G50790.1	protein_coding_gene	3	18879923	18881982	-	2060	2
vf_3_44815	RNA	3	18880192	18880238	228	46	-
vf_3_44827	RNA	3	18881355	18881378	377	23	-
AT3G54085.1	protein_coding_gene	3	20026581	20027991	-	1411	1
ef_3_54021	RNA	3	20026831	20026865	127	34	-
AT3G55770.7	protein_coding_gene	3	20703222	20705320	+	2099	2
vf_3_59392	RNA	3	20704104	20704180	175	76	-
vf_3_59399	RNA	3	20705002	20705046	175	44	-
AT3G58500.1	protein_coding_gene	3	21635226	21639105	-	3880	3
vf_3_68956	RNA	3	21636047	21636196	155	149	-
ef_3_68956	RNA	3	21636065	21636196	301	131	-
vf_3_68972	RNA	3	21638824	21638874	242	50	-
AT3G58670.1	protein_coding_gene	3	21703390	21706079	-	2690	1
vf_3_69563	RNA	3	21704437	21704500	193	63	-
AT4G00720.1	protein_coding_gene	4	293641	297314	-	3674	4
vf_4_76780	RNA	4	294764	294848	216	84	-
vf_4_76783	RNA	4	295170	295244	231	74	-
vf_4_76788	RNA	4	295709	295742	327	33	-
ef_4_76791	RNA	4	295847	295884	129	37	-
AT4G08460.1	protein_coding_gene	4	5377064	5380645	-	3582	1
vf_4_81822	RNA	4	5377850	5377884	230	34	-
AT4G09800.1	protein_coding_gene	4	6173715	6175200	+	1486	2
vf_4_86614	RNA	4	6174187	6174221	294	34	-
vf_4_86618	RNA	4	6174624	6174718	218	94	-
ef_4_86618	RNA	4	6174624	6174718	125	94	-
AT4G11240.1	protein_coding_gene	4	6847112	6849300	+	2189	2
vf_4_90575	RNA	4	6848722	6848824	264	102	-
ef_4_90575	RNA	4	6848760	6848812	139	52	-
AT4G15780.1	protein_coding_gene	4	8979889	8981768	-	1880	1
vf_4_107262	RNA	4	8981511	8981558	175	47	-
AT4G20870.1	protein_coding_gene	4	11174450	11176881	-	2432	4
vf_4_8417	RNA	4	11174861	11174904	182	43	-
vf_4_8420	RNA	4	11175094	11175156	308	62	-
vf_4_8422	RNA	4	11175295	11175336	153	41	-
vf_4_8425	RNA	4	11175424	11175449	163	25	-
AT4G22850.1	protein_coding_gene	4	11994014	11996229	+	2216	2
vf_4_14394	RNA	4	11994887	11994907	297	20	-
vf_4_14399	RNA	4	11995335	11995366	355	31	-
AT4G24630.1	protein_coding_gene	4	12714624	12717111	+	2488	1
ef_4_20426	RNA	4	12716671	12716736	209	65	-
AT4G27000.1	protein_coding_gene	4	13554604	13557854	-	3251	1
vf_4_30934	RNA	4	13557204	13557240	196	36	-
AT4G27880.1	protein_coding_gene	4	13883223	13885052	+	1830	4
vf_4_33618	RNA	4	13884112	13884224	194	112	-
vf_4_33620	RNA	4	13884291	13884471	209	180	-
vf_4_33623	RNA	4	13884683	13884745	170	62	-
vf_4_33624	RNA	4	13884753	13884844	175	91	-
AT4G29870.1	protein_coding_gene	4	14606001	14606674	+	674	2
vf_4_39215	RNA	4	14606210	14606273	433	63	-
vf_4_39217	RNA	4	14606312	14606366	262	54	-
AT4G31290.1	protein_coding_gene	4	15185886	15188484	+	2599	3
vf_4_43883	RNA	4	15186861	15186895	320	34	-
vf_4_43886	RNA	4	15187079	15187125	197	46	-
vf_4_43897	RNA	4	15187886	15187939	178	53	-
AT4G31720.2	protein_coding_gene	4	15353952	15356352	-	2401	1
vf_4_45109	RNA	4	15354243	15354290	240	47	-
AT4G32150.1	protein_coding_gene	4	15526113	15527879	-	1767	2
vf_4_46393	RNA	4	15526699	15526750	207	51	-
vf_4_46398	RNA	4	15527439	15527509	252	70	-
AT4G37280.1	protein_coding_gene	4	17546584	17549424	-	2841	1
vf_4_63871	RNA	4	17549222	17549258	201	36	-
AT5G03455.1	protein_coding_gene	5	862559	864108	+	1550	1
vf_5_156070	RNA	5	863228	863254	178	26	-
AT5G03560.2	protein_coding_gene	5	900460	902762	-	2303	1
vf_5_156352	RNA	5	901810	901836	171	26	-
AT5G06140.1	protein_coding_gene	5	1856008	1858785	-	2778	1
vf_5_42052	RNA	5	1858256	1858319	253	63	-
AT5G06660.1	protein_coding_gene	5	2046810	2047794	+	985	2
ef_5_43481	RNA	5	2047138	2047178	132	40	-
ef_5_43483	RNA	5	2047298	2047393	260	95	-
AT5G07960.1	protein_coding_gene	5	2542246	2543459	+	1214	1
vf_5_72028	RNA	5	2542443	2542500	173	57	-
AT5G11500.1	protein_coding_gene	5	3676548	3679352	+	2805	2
vf_5_121624	RNA	5	3676748	3676850	328	102	-
vf_5_121633	RNA	5	3678925	3678945	183	20	-
AT5G14390.1	protein_coding_gene	5	4637312	4639756	-	2445	3
vf_5_132280	RNA	5	4638294	4638329	156	35	-
vf_5_132283	RNA	5	4638615	4638638	306	23	-
vf_5_132284	RNA	5	4639310	4639341	204	31	-
AT5G14680.1	protein_coding_gene	5	4730907	4733081	-	2175	2
ef_5_133139	RNA	5	4732040	4732131	103	91	-
vf_5_133143	RNA	5	4732925	4732968	188	43	-
AT5G17550.1	protein_coding_gene	5	5786510	5788239	-	1730	1
vf_5_141599	RNA	5	5786899	5786959	250	60	-
AT5G41520.1	protein_coding_gene	5	16609153	16610692	-	1540	1
ef_5_29038	RNA	5	16610172	16610274	248	102	-
AT5G41940.1	protein_coding_gene	5	16781947	16785576	+	3630	4
ef_5_30228	RNA	5	16784766	16784804	115	38	-
vf_5_30230	RNA	5	16784947	16785012	154	65	-
vf_5_30233	RNA	5	16785105	16785133	238	28	-
vf_5_30235	RNA	5	16785174	16785196	363	22	-
AT5G42520.1	protein_coding_gene	5	17000259	17002607	+	2349	4
vf_5_31905	RNA	5	17002188	17002208	207	20	-
vf_5_31906	RNA	5	17002223	17002263	220	40	-
vf_5_31908	RNA	5	17002335	17002454	156	119	-
ef_5_31908	RNA	5	17002345	17002435	312	90	-
AT5G43460.1	protein_coding_gene	5	17459873	17461751	+	1879	1
vf_5_34764	RNA	5	17461394	17461433	178	39	-
AT5G44340.1	protein_coding_gene	5	17859195	17861101	-	1907	8
vf_5_37643	RNA	5	17859488	17859561	241	73	-
vf_5_37644	RNA	5	17859581	17859841	230	260	-
ef_5_37644	RNA	5	17859582	17859755	357	173	-
vf_5_37645	RNA	5	17859857	17859988	263	131	-
ef_5_37645	RNA	5	17859878	17859979	231	101	-
ef_5_37656	RNA	5	17860785	17860858	142	73	-
vf_5_37656	RNA	5	17860786	17860868	156	82	-
vf_5_37657	RNA	5	17860897	17860961	213	64	-
AT5G46020.1	protein_coding_gene	5	18662846	18664874	-	2029	1
vf_5_45631	RNA	5	18663732	18663753	260	21	-
AT5G54390.1	protein_coding_gene	5	22085998	22088017	+	2020	5
vf_5_73396	RNA	5	22086802	22086835	346	33	-
ef_5_73398	RNA	5	22086900	22086988	151	88	-
vf_5_73403	RNA	5	22087299	22087364	200	65	-
vf_5_73404	RNA	5	22087401	22087448	225	47	-
vf_5_73405	RNA	5	22087466	22087492	321	26	-
AT5G55260.1	protein_coding_gene	5	22416599	22418864	+	2266	3
vf_5_75580	RNA	5	22416810	22416850	152	40	-
vf_5_75581	RNA	5	22416862	22416946	227	84	-
vf_5_75585	RNA	5	22417726	22417773	173	47	-
AT5G56750.1	protein_coding_gene	5	22957877	22960916	+	3040	3
vf_5_79604	RNA	5	22959720	22959741	153	21	-
ef_5_79609	RNA	5	22960213	22960286	110	73	-
vf_5_79611	RNA	5	22960519	22960564	373	45	-
AT5G66380.1	protein_coding_gene	5	26513524	26515695	-	2172	3
vf_5_111127	RNA	5	26514369	26514401	167	32	-
vf_5_111130	RNA	5	26514768	26514788	166	20	-
vf_5_111137	RNA	5	26515428	26515507	237	79	-
AT5G67380.1	protein_coding_gene	5	26880966	26883430	-	2465	1
vf_5_114368	RNA	5	26882161	26882281	255	120	-
