#gene_list: list_Tneg.txt#RNAstr.filter: S|minL|maxL : 0|6|1000
#OVERLAPfilter: gene|feat|cover. : 1|0|1
#Noverlap_genes/Nmapped_genes/Nlist_genes: 54/76/76
#NoverlapRNAcoords/RNAunique_coords/TOT_RNAs: 161/86258/86535
#
#LOCUS	type	chr	start	stop	strand/S	L	TOT_RNAcoords
vf_2_50810	RNA	2	16286539	16286565	276	26	-
AT2G39570.1	protein_coding_gene	2	16507896	16510198	+	2303	2
vf_2_52505	RNA	2	16508267	16508297	194	30	-
ef_2_52525	RNA	2	16509383	16509448	134	65	-
AT2G45670.1	protein_coding_gene	2	18814709	18818463	-	3755	4
ef_2_70947	RNA	2	18816590	18816600	115	10	-
vf_2_70947	RNA	2	18816609	18816617	182	8	-
ef_2_70955	RNA	2	18817594	18817633	117	39	-
vf_2_70956	RNA	2	18817662	18817705	170	43	-
AT2G47910.1	protein_coding_gene	2	19614698	19615769	+	1072	3
vf_2_77509	RNA	2	19615294	19615412	182	118	-
ef_2_77509	RNA	2	19615295	19615411	300	116	-
vf_2_77511	RNA	2	19615496	19615508	209	12	-
AT2G48070.3	protein_coding_gene	2	19662817	19664465	+	1649	1
vf_2_77991	RNA	2	19663310	19663409	170	99	-
AT3G16190.1	protein_coding_gene	3	5489701	5491248	-	1548	1
ef_3_111360	RNA	3	5490367	5490374	131	7	-
AT3G23255.2	protein_coding_gene	3	8311722	8313125	+	1404	1
vf_3_134622	RNA	3	8312520	8312542	203	22	-
AT3G26630.1	protein_coding_gene	3	9791371	9792985	-	1615	4
ef_3_147307	RNA	3	9791914	9791928	214	14	-
ef_3_147308	RNA	3	9791953	9791969	303	16	-
ef_3_147310	RNA	3	9792016	9792041	103	25	-
ef_3_147314	RNA	3	9792219	9792233	159	14	-
AT3G55530.1	protein_coding_gene	3	20595126	20597603	-	2478	6
vf_3_58608	RNA	3	20595385	20595405	198	20	-
vf_3_58610	RNA	3	20595509	20595525	181	16	-
vf_3_58611	RNA	3	20595556	20595567	355	11	-
vf_3_58617	RNA	3	20596357	20596378	223	21	-
vf_3_58620	RNA	3	20596601	20596711	186	110	-
vf_3_58625	RNA	3	20597121	20597141	159	20	-
AT3G58490.1	protein_coding_gene	3	21632812	21635106	+	2295	2
vf_3_68928	RNA	3	21633568	21633609	158	41	-
vf_3_68942	RNA	3	21634749	21634757	486	8	-
AT3G60300.2	protein_coding_gene	3	22285263	22287511	+	2249	2
vf_3_73936	RNA	3	22286441	22286485	177	44	-
vf_3_73938	RNA	3	22286592	22286607	309	15	-
AT3G60590.3	protein_coding_gene	3	22398228	22399904	+	1677	5
vf_3_74727	RNA	3	22399082	22399108	292	26	-
vf_3_74733	RNA	3	22399503	22399528	436	25	-
vf_3_74734	RNA	3	22399607	22399616	330	9	-
vf_3_74735	RNA	3	22399637	22399662	154	25	-
vf_3_74736	RNA	3	22399685	22399696	205	11	-
AT3G62290.1	protein_coding_gene	3	23051544	23053817	+	2274	7
vf_3_79986	RNA	3	23052288	23052363	180	75	-
ef_3_79986	RNA	3	23052321	23052333	111	12	-
vf_3_79987	RNA	3	23052368	23052437	245	69	-
vf_3_79988	RNA	3	23052744	23052819	196	75	-
vf_3_79989	RNA	3	23052950	23053067	308	117	-
vf_3_79990	RNA	3	23053156	23053210	318	54	-
vf_3_79992	RNA	3	23053374	23053433	338	59	-
AT3G62650.2	protein_coding_gene	3	23168061	23169187	+	1127	1
ef_3_80755	RNA	3	23168709	23168769	162	60	-
AT4G03030.1	protein_coding_gene	4	1335729	1337368	-	1640	2
ef_4_24830	RNA	4	1336847	1336918	165	71	-
ef_4_24831	RNA	4	1336931	1336965	120	34	-
AT4G09830.1	protein_coding_gene	4	6188767	6190853	+	2087	2
vf_4_86692	RNA	4	6188904	6188916	241	12	-
vf_4_86704	RNA	4	6190556	6190576	221	20	-
AT4G17730.2	protein_coding_gene	4	9865103	9867022	+	1920	5
vf_4_113592	RNA	4	9865355	9865374	217	19	-
vf_4_113595	RNA	4	9865501	9865528	162	27	-
vf_4_113598	RNA	4	9865837	9865848	284	11	-
vf_4_113603	RNA	4	9866184	9866344	159	160	-
ef_4_113603	RNA	4	9866292	9866341	105	49	-
AT4G17790.1	protein_coding_gene	4	9891051	9892807	+	1757	3
vf_4_113798	RNA	4	9891913	9892070	161	157	-
vf_4_113799	RNA	4	9892086	9892139	165	53	-
vf_4_113803	RNA	4	9892548	9892564	212	16	-
AT4G18370.1	protein_coding_gene	4	10149129	10151218	+	2090	5
vf_4_115651	RNA	4	10149699	10149730	192	31	-
vf_4_115652	RNA	4	10149819	10149852	158	33	-
vf_4_115655	RNA	4	10150046	10150060	156	14	-
vf_4_115656	RNA	4	10150160	10150176	198	16	-
vf_4_115659	RNA	4	10150784	10150809	201	25	-
AT4G22570.1	protein_coding_gene	4	11882126	11885421	-	3296	5
vf_4_13605	RNA	4	11882661	11882687	174	26	-
vf_4_13606	RNA	4	11882730	11882742	350	12	-
vf_4_13608	RNA	4	11882866	11882885	201	19	-
vf_4_13609	RNA	4	11882902	11882949	278	47	-
ef_4_13618	RNA	4	11884772	11884816	188	44	-
AT4G22753.1	protein_coding_gene	4	11949164	11953648	-	4485	10
vf_4_14047	RNA	4	11949466	11949476	342	10	-
vf_4_14058	RNA	4	11950282	11950293	260	11	-
vf_4_14060	RNA	4	11950404	11950430	190	26	-
vf_4_14063	RNA	4	11950544	11950556	200	12	-
ef_4_14073	RNA	4	11952341	11952425	133	84	-
vf_4_14074	RNA	4	11952443	11952454	409	11	-
vf_4_14078	RNA	4	11952775	11952783	349	8	-
vf_4_14080	RNA	4	11952844	11952862	165	18	-
vf_4_14085	RNA	4	11953285	11953298	342	13	-
ef_4_14091	RNA	4	11953560	11953580	330	20	-
AT4G22750.2	protein_coding_gene	4	11949180	11951424	-	2245	4
vf_4_14047	RNA	4	11949466	11949476	342	10	-
vf_4_14058	RNA	4	11950282	11950293	260	11	-
vf_4_14060	RNA	4	11950404	11950430	190	26	-
vf_4_14063	RNA	4	11950544	11950556	200	12	-
AT4G24972.1	protein_coding_gene	4	12837353	12839823	+	2471	3
vf_4_23320	RNA	4	12839365	12839373	259	8	-
vf_4_23322	RNA	4	12839506	12839521	336	15	-
ef_4_23323	RNA	4	12839538	12839560	114	22	-
AT4G25910.1	protein_coding_gene	4	13163929	13165205	+	1277	2
vf_4_27779	RNA	4	13164526	13164705	194	179	-
vf_4_27784	RNA	4	13164999	13165085	154	86	-
AT5G02150.1	protein_coding_gene	5	424291	426079	-	1789	2
vf_5_124312	RNA	5	424494	424526	151	32	-
ef_5_124322	RNA	5	425320	425333	113	13	-
AT5G02840.1	protein_coding_gene	5	648704	651972	+	3269	2
vf_5_125981	RNA	5	649616	649662	221	46	-
vf_5_125993	RNA	5	650875	650885	302	10	-
AT5G10140.1	protein_coding_gene	5	3173497	3179448	-	5952	1
vf_5_117498	RNA	5	3179245	3179283	171	38	-
AT5G14180.1	protein_coding_gene	5	4571337	4574462	-	3126	1
ef_5_131715	RNA	5	4571600	4571612	133	12	-
AT5G17400.1	protein_coding_gene	5	5728789	5730376	-	1588	6
vf_5_141126	RNA	5	5729076	5729084	373	8	-
vf_5_141130	RNA	5	5729224	5729237	215	13	-
vf_5_141133	RNA	5	5729407	5729421	199	14	-
vf_5_141138	RNA	5	5729632	5729673	187	41	-
vf_5_141141	RNA	5	5729840	5729850	450	10	-
ef_5_141144	RNA	5	5729958	5730016	182	58	-
AT5G20520.1	protein_coding_gene	5	6943154	6946454	-	3301	5
vf_5_150651	RNA	5	6943743	6943755	154	12	-
vf_5_150653	RNA	5	6944326	6944342	465	16	-
vf_5_150654	RNA	5	6944407	6944425	252	18	-
vf_5_150657	RNA	5	6945406	6945420	342	14	-
vf_5_150658	RNA	5	6945567	6945621	199	54	-
AT5G41700.4	protein_coding_gene	5	16675582	16677509	+	1928	3
vf_5_29519	RNA	5	16676075	16676140	177	65	-
vf_5_29521	RNA	5	16676491	16676622	179	131	-
ef_5_29524	RNA	5	16677097	16677182	112	85	-
AT5G44520.1	protein_coding_gene	5	17934287	17936527	-	2241	2
vf_5_38130	RNA	5	17934937	17934972	196	35	-
vf_5_38131	RNA	5	17935003	17935035	188	32	-
AT5G47890.1	protein_coding_gene	5	19388737	19390629	+	1893	1
vf_5_50976	RNA	5	19389030	19389098	180	68	-
AT5G52960.1	protein_coding_gene	5	21477146	21478437	+	1292	1
vf_5_66168	RNA	5	21477479	21477624	167	145	-
