#gene_list: list_Tnochange.txt#RNAstr.filter: S|minL|maxL : 0|6|1000
#OVERLAPfilter: gene|feat|cover. : 1|0|1
#Noverlap_genes/Nmapped_genes/Nlist_genes: 122/150/150
#NoverlapRNAcoords/RNAunique_coords/TOT_RNAs: 432/86258/86535
#
#LOCUS	type	chr	start	stop	strand/S	L	TOT_RNAcoords
vf_1_50103	RNA	1	19793675	19793786	181	111	-
AT1G55880.1	protein_coding_gene	1	20898898	20901183	-	2286	3
vf_1_61867	RNA	1	20900047	20900059	170	12	-
ef_1_61867	RNA	1	20900059	20900085	121	26	-
vf_1_61872	RNA	1	20900805	20900836	169	31	-
AT1G63980.1	protein_coding_gene	1	23740516	23743302	+	2787	1
ef_1_81846	RNA	1	23740656	23740701	101	45	-
AT1G73010.1	protein_coding_gene	1	27464572	27466256	-	1685	6
ef_1_112316	RNA	1	27464933	27464961	192	28	-
vf_1_112319	RNA	1	27465067	27465082	314	15	-
vf_1_112321	RNA	1	27465360	27465376	341	16	-
vf_1_112322	RNA	1	27465397	27465426	399	29	-
vf_1_112324	RNA	1	27465467	27465483	270	16	-
vf_1_112329	RNA	1	27466032	27466078	187	46	-
AT1G75630.2	protein_coding_gene	1	28400544	28402355	+	1812	8
vf_1_119922	RNA	1	28400681	28400724	502	43	-
vf_1_119923	RNA	1	28400834	28400868	168	34	-
ef_1_119923	RNA	1	28400846	28400873	127	27	-
vf_1_119924	RNA	1	28400875	28400952	178	77	-
ef_1_119924	RNA	1	28400883	28400947	270	64	-
vf_1_119925	RNA	1	28400984	28401006	241	22	-
vf_1_119926	RNA	1	28401038	28401122	505	84	-
vf_1_119927	RNA	1	28401899	28401963	187	64	-
AT2G02760.1	protein_coding_gene	2	773684	775371	+	1688	4
vf_2_88258	RNA	2	774272	774321	223	49	-
vf_2_88259	RNA	2	774331	774397	205	66	-
vf_2_88263	RNA	2	774777	774842	243	65	-
vf_2_88265	RNA	2	775020	775140	262	120	-
AT2G15240.1	protein_coding_gene	2	6615525	6618974	-	3450	2
vf_2_91000	RNA	2	6616160	6616201	157	41	-
vf_2_91008	RNA	2	6617813	6617840	163	27	-
AT2G16650.1	protein_coding_gene	2	7215819	7218395	-	2577	4
vf_2_93653	RNA	2	7216037	7216047	185	10	-
vf_2_93657	RNA	2	7216352	7216393	150	41	-
vf_2_93659	RNA	2	7216542	7216550	227	8	-
ef_2_93673	RNA	2	7217492	7217505	115	13	-
AT2G18030.1	protein_coding_gene	2	7840067	7841823	+	1757	3
vf_2_98110	RNA	2	7840369	7840407	246	38	-
vf_2_98115	RNA	2	7841090	7841102	406	12	-
vf_2_98119	RNA	2	7841401	7841477	153	76	-
AT2G19340.1	protein_coding_gene	2	8373766	8375939	-	2174	6
vf_2_101743	RNA	2	8373776	8373797	201	21	-
vf_2_101749	RNA	2	8374064	8374082	152	18	-
vf_2_101751	RNA	2	8374148	8374156	341	8	-
ef_2_101762	RNA	2	8375420	8375479	121	59	-
vf_2_101762	RNA	2	8375452	8375466	583	14	-
vf_2_101764	RNA	2	8375533	8375607	222	74	-
AT2G24790.1	protein_coding_gene	2	10566898	10568145	+	1248	5
vf_2_3472	RNA	2	10566980	10566993	225	13	-
vf_2_3473	RNA	2	10567017	10567033	277	16	-
vf_2_3475	RNA	2	10567110	10567159	246	49	-
vf_2_3479	RNA	2	10567322	10567332	197	10	-
vf_2_3490	RNA	2	10567833	10567868	204	35	-
AT2G26070.1	protein_coding_gene	2	11105672	11107188	-	1517	1
vf_2_7250	RNA	2	11106125	11106135	195	10	-
AT2G27500.1	protein_coding_gene	2	11752170	11754028	-	1859	5
vf_2_13480	RNA	2	11752724	11752732	368	8	-
vf_2_13482	RNA	2	11752838	11752846	264	8	-
vf_2_13484	RNA	2	11752934	11752951	363	17	-
ef_2_13498	RNA	2	11753617	11753642	123	25	-
vf_2_13498	RNA	2	11753627	11753650	175	23	-
AT2G29020.1	protein_coding_gene	2	12469724	12471700	+	1977	1
vf_2_18244	RNA	2	12470668	12470697	193	29	-
AT2G29400.1	protein_coding_gene	2	12613081	12615399	-	2319	6
vf_2_19537	RNA	2	12613818	12613937	164	119	-
ef_2_19539	RNA	2	12614090	12614135	122	45	-
vf_2_19540	RNA	2	12614154	12614168	227	14	-
vf_2_19544	RNA	2	12614439	12614527	194	88	-
vf_2_19545	RNA	2	12614542	12614556	610	14	-
vf_2_19548	RNA	2	12615057	12615122	155	65	-
AT2G31350.1	protein_coding_gene	2	13368292	13371057	+	2766	3
vf_2_26542	RNA	2	13369435	13369490	195	55	-
vf_2_26545	RNA	2	13370469	13370493	232	24	-
vf_2_26547	RNA	2	13370563	13370573	252	10	-
AT2G36130.1	protein_coding_gene	2	15166773	15168497	+	1725	4
vf_2_41990	RNA	2	15166890	15166918	305	28	-
vf_2_41993	RNA	2	15167351	15167413	150	62	-
ef_2_41993	RNA	2	15167375	15167395	102	20	-
vf_2_41995	RNA	2	15167839	15167883	175	44	-
AT2G37340.1	protein_coding_gene	2	15670147	15672700	-	2554	1
vf_2_46105	RNA	2	15671389	15671423	237	34	-
AT2G37410.1	protein_coding_gene	2	15697834	15699275	-	1442	2
ef_2_46317	RNA	2	15698717	15698818	425	101	-
ef_2_46318	RNA	2	15698823	15698885	238	62	-
AT2G39770.1	protein_coding_gene	2	16588696	16591032	+	2337	6
vf_2_53147	RNA	2	16589743	16589818	156	75	-
vf_2_53148	RNA	2	16589828	16589943	238	115	-
vf_2_53150	RNA	2	16590069	16590081	509	12	-
vf_2_53152	RNA	2	16590160	16590371	156	211	-
vf_2_53153	RNA	2	16590392	16590639	204	247	-
ef_2_53153	RNA	2	16590400	16590544	130	144	-
AT2G42310.1	protein_coding_gene	2	17625212	17625889	+	678	3
vf_2_61664	RNA	2	17625345	17625355	198	10	-
vf_2_61665	RNA	2	17625371	17625379	263	8	-
vf_2_61666	RNA	2	17625407	17625541	315	134	-
AT2G44620.1	protein_coding_gene	2	18414251	18415303	+	1053	1
vf_2_67862	RNA	2	18414888	18415012	196	124	-
AT2G45980.1	protein_coding_gene	2	18917352	18919109	-	1758	1
vf_2_71745	RNA	2	18917995	18918003	164	8	-
AT3G02080.1	protein_coding_gene	3	363881	365275	-	1395	1
vf_3_89508	RNA	3	364657	364666	173	9	-
AT3G04400.1	protein_coding_gene	3	1167276	1168659	+	1384	8
ef_3_144189	RNA	3	1167577	1167619	170	42	-
vf_3_144190	RNA	3	1167629	1167661	402	32	-
ef_3_144190	RNA	3	1167629	1167661	208	32	-
vf_3_144191	RNA	3	1167670	1167701	158	31	-
ef_3_144192	RNA	3	1167709	1167725	126	16	-
vf_3_144193	RNA	3	1167744	1167793	275	49	-
vf_3_144196	RNA	3	1167945	1167987	214	42	-
vf_3_144197	RNA	3	1168224	1168269	302	45	-
vf_3_144198	RNA	3	1168277	1168303	209	26	-
AT3G06270.1	protein_coding_gene	3	1896137	1898034	+	1898	5
vf_3_39634	RNA	3	1897006	1897014	208	8	-
ef_3_39638	RNA	3	1897156	1897226	172	70	-
vf_3_39641	RNA	3	1897320	1897358	165	38	-
vf_3_39645	RNA	3	1897540	1897560	196	20	-
vf_3_39648	RNA	3	1897766	1897862	164	96	-
AT3G09500.1	protein_coding_gene	3	2916952	2918108	+	1157	4
ef_3_87597	RNA	3	2917180	2917193	121	13	-
vf_3_87598	RNA	3	2917220	2917274	448	54	-
vf_3_87602	RNA	3	2917691	2917705	222	14	-
vf_3_87605	RNA	3	2917881	2917892	248	11	-
AT3G12120.1	protein_coding_gene	3	3860285	3863050	-	2766	10
vf_3_98088	RNA	3	3860731	3860845	229	114	-
vf_3_98089	RNA	3	3860860	3860868	321	8	-
vf_3_98090	RNA	3	3860895	3860940	161	45	-
vf_3_98091	RNA	3	3860969	3860981	518	12	-
vf_3_98095	RNA	3	3861139	3861176	277	37	-
vf_3_98096	RNA	3	3861214	3861222	328	8	-
vf_3_98097	RNA	3	3861268	3861297	163	29	-
vf_3_98098	RNA	3	3861298	3861348	153	50	-
ef_3_98099	RNA	3	3861396	3861466	121	70	-
vf_3_98103	RNA	3	3861601	3861634	181	33	-
AT3G12760.1	protein_coding_gene	3	4054739	4056980	+	2242	1
vf_3_99834	RNA	3	4056758	4056769	184	11	-
AT3G15480.1	protein_coding_gene	3	5226248	5227789	-	1542	3
ef_3_109478	RNA	3	5226577	5226591	103	14	-
vf_3_109478	RNA	3	5226580	5226588	379	8	-
ef_3_109483	RNA	3	5226844	5226851	136	7	-
AT3G16640.1	protein_coding_gene	3	5669373	5670842	-	1470	4
vf_3_112691	RNA	3	5669716	5669762	158	46	-
vf_3_112692	RNA	3	5669773	5669786	245	13	-
ef_3_112694	RNA	3	5670005	5670033	100	28	-
vf_3_112695	RNA	3	5670071	5670108	177	37	-
AT3G16850.1	protein_coding_gene	3	5748570	5751297	+	2728	4
vf_3_113273	RNA	3	5749327	5749351	157	24	-
vf_3_113277	RNA	3	5749525	5749626	231	101	-
vf_3_113282	RNA	3	5750015	5750058	184	43	-
vf_3_113288	RNA	3	5750472	5750504	301	32	-
AT3G17100.1	protein_coding_gene	3	5831194	5832419	+	1226	1
ef_3_113910	RNA	3	5832051	5832104	165	53	-
AT3G18780.2	protein_coding_gene	3	6474842	6477204	+	2363	14
vf_3_121220	RNA	3	6475538	6475591	224	53	-
vf_3_121221	RNA	3	6475611	6475654	339	43	-
vf_3_121222	RNA	3	6475664	6475845	357	181	-
ef_3_121222	RNA	3	6475676	6475855	274	179	-
vf_3_121223	RNA	3	6475859	6475991	285	132	-
vf_3_121224	RNA	3	6476064	6476120	346	56	-
vf_3_121225	RNA	3	6476135	6476169	302	34	-
vf_3_121226	RNA	3	6476194	6476523	304	329	-
ef_3_121226	RNA	3	6476276	6476374	225	98	-
vf_3_121227	RNA	3	6476529	6476581	244	52	-
ef_3_121227	RNA	3	6476548	6476582	142	34	-
vf_3_121228	RNA	3	6476586	6476683	267	97	-
ef_3_121228	RNA	3	6476605	6476678	190	73	-
vf_3_121229	RNA	3	6476769	6476831	250	62	-
AT3G19910.1	protein_coding_gene	3	6926308	6929567	+	3260	1
ef_3_124743	RNA	3	6926678	6926689	119	11	-
AT3G24120.2	protein_coding_gene	3	8705636	8708315	-	2680	3
ef_3_137441	RNA	3	8706040	8706057	113	17	-
vf_3_137448	RNA	3	8706629	8706643	516	14	-
vf_3_137456	RNA	3	8707958	8707981	470	23	-
AT3G24506.1	protein_coding_gene	3	8928169	8929329	-	1161	3
vf_3_138833	RNA	3	8928461	8928499	240	38	-
vf_3_138834	RNA	3	8928514	8928559	309	45	-
vf_3_138835	RNA	3	8929028	8929076	252	48	-
AT3G49870.1	protein_coding_gene	3	18492408	18494139	-	1732	3
vf_3_42222	RNA	3	18493012	18493025	158	13	-
vf_3_42224	RNA	3	18493328	18493340	216	12	-
vf_3_42225	RNA	3	18493457	18493542	155	85	-
AT3G50790.1	protein_coding_gene	3	18879923	18881982	-	2060	4
vf_3_44815	RNA	3	18880192	18880238	228	46	-
vf_3_44817	RNA	3	18880339	18880382	151	43	-
vf_3_44820	RNA	3	18880708	18880716	334	8	-
vf_3_44827	RNA	3	18881355	18881378	377	23	-
AT3G53740.2	protein_coding_gene	3	19913707	19915016	-	1310	1
vf_3_53038	RNA	3	19914209	19914220	181	11	-
AT3G54085.1	protein_coding_gene	3	20026581	20027991	-	1411	2
ef_3_54021	RNA	3	20026831	20026865	127	34	-
vf_3_54024	RNA	3	20026974	20026987	316	13	-
AT3G55770.7	protein_coding_gene	3	20703222	20705320	+	2099	4
vf_3_59389	RNA	3	20703826	20703839	198	13	-
vf_3_59392	RNA	3	20704104	20704180	175	76	-
vf_3_59398	RNA	3	20704960	20704972	350	12	-
vf_3_59399	RNA	3	20705002	20705046	175	44	-
AT3G56680.1	protein_coding_gene	3	20991280	20993677	+	2398	2
vf_3_61752	RNA	3	20992155	20992173	389	18	-
vf_3_61753	RNA	3	20992252	20992269	297	17	-
AT3G58500.1	protein_coding_gene	3	21635226	21639105	-	3880	7
vf_3_68953	RNA	3	21635556	21635566	291	10	-
vf_3_68955	RNA	3	21635878	21635936	211	58	-
vf_3_68956	RNA	3	21636047	21636196	155	149	-
ef_3_68956	RNA	3	21636065	21636196	301	131	-
ef_3_68963	RNA	3	21636954	21636998	130	44	-
vf_3_68968	RNA	3	21637853	21637930	244	77	-
vf_3_68972	RNA	3	21638824	21638874	242	50	-
AT3G58670.1	protein_coding_gene	3	21703390	21706079	-	2690	2
vf_3_69555	RNA	3	21703748	21703766	279	18	-
vf_3_69563	RNA	3	21704437	21704500	193	63	-
AT3G60600.1	protein_coding_gene	3	22400395	22402703	+	2309	1
vf_3_74746	RNA	3	22401097	22401106	165	9	-
AT4G00560.4	protein_coding_gene	4	240660	242379	-	1720	2
vf_4_22412	RNA	4	240898	240912	192	14	-
vf_4_22429	RNA	4	242212	242226	166	14	-
AT4G00720.1	protein_coding_gene	4	293641	297314	-	3674	7
vf_4_76779	RNA	4	294653	294665	494	12	-
vf_4_76780	RNA	4	294764	294848	216	84	-
vf_4_76783	RNA	4	295170	295244	231	74	-
vf_4_76785	RNA	4	295382	295391	178	9	-
vf_4_76788	RNA	4	295709	295742	327	33	-
ef_4_76791	RNA	4	295847	295884	129	37	-
vf_4_76795	RNA	4	296243	296253	183	10	-
AT4G00840.1	protein_coding_gene	4	355258	357279	-	2022	2
vf_4_77237	RNA	4	355565	355575	359	10	-
vf_4_77250	RNA	4	356592	356603	255	11	-
AT4G08280.1	protein_coding_gene	4	5230326	5232196	+	1871	1
vf_4_81296	RNA	4	5230984	5230995	265	11	-
AT4G08460.1	protein_coding_gene	4	5377064	5380645	-	3582	2
vf_4_81820	RNA	4	5377643	5377654	172	11	-
vf_4_81822	RNA	4	5377850	5377884	230	34	-
AT4G09800.1	protein_coding_gene	4	6173715	6175200	+	1486	4
vf_4_86614	RNA	4	6174187	6174221	294	34	-
vf_4_86616	RNA	4	6174265	6174341	209	76	-
vf_4_86618	RNA	4	6174624	6174718	218	94	-
ef_4_86618	RNA	4	6174624	6174718	125	94	-
vf_4_86620	RNA	4	6174857	6174951	366	94	-
AT4G11240.1	protein_coding_gene	4	6847112	6849300	+	2189	6
vf_4_90564	RNA	4	6848030	6848044	581	14	-
ef_4_90565	RNA	4	6848068	6848087	101	19	-
vf_4_90569	RNA	4	6848312	6848331	187	19	-
vf_4_90575	RNA	4	6848722	6848824	264	102	-
ef_4_90575	RNA	4	6848760	6848812	139	52	-
vf_4_90578	RNA	4	6848914	6848922	317	8	-
AT4G15780.1	protein_coding_gene	4	8979889	8981768	-	1880	2
vf_4_107258	RNA	4	8980765	8980776	209	11	-
vf_4_107262	RNA	4	8981511	8981558	175	47	-
AT4G20870.1	protein_coding_gene	4	11174450	11176881	-	2432	8
vf_4_8414	RNA	4	11174651	11174662	251	11	-
vf_4_8415	RNA	4	11174684	11174741	213	57	-
vf_4_8417	RNA	4	11174861	11174904	182	43	-
vf_4_8418	RNA	4	11174933	11174941	257	8	-
vf_4_8420	RNA	4	11175094	11175156	308	62	-
vf_4_8422	RNA	4	11175295	11175336	153	41	-
vf_4_8425	RNA	4	11175424	11175449	163	25	-
vf_4_8427	RNA	4	11175561	11175652	173	91	-
AT4G22850.1	protein_coding_gene	4	11994014	11996229	+	2216	3
vf_4_14394	RNA	4	11994887	11994907	297	20	-
vf_4_14399	RNA	4	11995335	11995366	355	31	-
vf_4_14400	RNA	4	11995380	11995390	356	10	-
AT4G24630.1	protein_coding_gene	4	12714624	12717111	+	2488	4
vf_4_20415	RNA	4	12715348	12715402	171	54	-
vf_4_20417	RNA	4	12715500	12715519	247	19	-
vf_4_20420	RNA	4	12715912	12716093	200	181	-
ef_4_20426	RNA	4	12716671	12716736	209	65	-
AT4G26710.1	protein_coding_gene	4	13468549	13469935	+	1387	1
vf_4_30197	RNA	4	13469601	13469635	177	34	-
AT4G27000.1	protein_coding_gene	4	13554604	13557854	-	3251	5
vf_4_30914	RNA	4	13555371	13555386	209	15	-
vf_4_30916	RNA	4	13555448	13555459	251	11	-
vf_4_30928	RNA	4	13556931	13556950	250	19	-
vf_4_30934	RNA	4	13557204	13557240	196	36	-
vf_4_30935	RNA	4	13557276	13557284	315	8	-
AT4G27090.1	protein_coding_gene	4	13593905	13595252	-	1348	2
vf_4_31290	RNA	4	13594126	13594139	280	13	-
vf_4_31296	RNA	4	13594531	13594544	189	13	-
AT4G27880.1	protein_coding_gene	4	13883223	13885052	+	1830	7
vf_4_33617	RNA	4	13884088	13884104	602	16	-
vf_4_33618	RNA	4	13884112	13884224	194	112	-
vf_4_33620	RNA	4	13884291	13884471	209	180	-
ef_4_33620	RNA	4	13884331	13884484	254	153	-
vf_4_33621	RNA	4	13884560	13884622	248	62	-
vf_4_33623	RNA	4	13884683	13884745	170	62	-
vf_4_33624	RNA	4	13884753	13884844	175	91	-
AT4G29870.1	protein_coding_gene	4	14606001	14606674	+	674	2
vf_4_39215	RNA	4	14606210	14606273	433	63	-
vf_4_39217	RNA	4	14606312	14606366	262	54	-
AT4G31290.1	protein_coding_gene	4	15185886	15188484	+	2599	7
vf_4_43883	RNA	4	15186861	15186895	320	34	-
vf_4_43886	RNA	4	15187079	15187125	197	46	-
vf_4_43887	RNA	4	15187145	15187154	253	9	-
vf_4_43888	RNA	4	15187264	15187276	321	12	-
vf_4_43896	RNA	4	15187742	15187780	197	38	-
vf_4_43897	RNA	4	15187886	15187939	178	53	-
vf_4_43899	RNA	4	15188114	15188131	170	17	-
AT4G31720.2	protein_coding_gene	4	15353952	15356352	-	2401	3
vf_4_45109	RNA	4	15354243	15354290	240	47	-
vf_4_45112	RNA	4	15354984	15355037	158	53	-
vf_4_45115	RNA	4	15355616	15355628	481	12	-
AT4G32150.1	protein_coding_gene	4	15526113	15527879	-	1767	2
vf_4_46393	RNA	4	15526699	15526750	207	51	-
vf_4_46398	RNA	4	15527439	15527509	252	70	-
AT4G37280.1	protein_coding_gene	4	17546584	17549424	-	2841	2
vf_4_63855	RNA	4	17547010	17547023	189	13	-
vf_4_63871	RNA	4	17549222	17549258	201	36	-
AT4G38800.1	protein_coding_gene	4	18113161	18115133	-	1973	5
vf_4_68717	RNA	4	18113438	18113453	178	15	-
vf_4_68719	RNA	4	18113539	18113547	249	8	-
vf_4_68721	RNA	4	18113714	18113727	185	13	-
vf_4_68727	RNA	4	18114341	18114359	173	18	-
vf_4_68731	RNA	4	18114793	18114805	255	12	-
AT4G39200.1	protein_coding_gene	4	18257336	18258680	+	1345	1
vf_4_69940	RNA	4	18257562	18257604	321	42	-
AT5G03455.1	protein_coding_gene	5	862559	864108	+	1550	1
vf_5_156070	RNA	5	863228	863254	178	26	-
AT5G03560.2	protein_coding_gene	5	900460	902762	-	2303	4
vf_5_156341	RNA	5	900971	901058	184	87	-
ef_5_156342	RNA	5	901075	901211	365	136	-
vf_5_156352	RNA	5	901810	901836	171	26	-
vf_5_156354	RNA	5	901889	901899	176	10	-
AT5G06140.1	protein_coding_gene	5	1856008	1858785	-	2778	2
ef_5_42047	RNA	5	1857568	1857575	103	7	-
vf_5_42052	RNA	5	1858256	1858319	253	63	-
AT5G06340.1	protein_coding_gene	5	1936366	1938114	+	1749	3
vf_5_42590	RNA	5	1936830	1936840	873	10	-
vf_5_42592	RNA	5	1937235	1937245	161	10	-
vf_5_42594	RNA	5	1937412	1937421	218	9	-
AT5G06660.1	protein_coding_gene	5	2046810	2047794	+	985	3
vf_5_43480	RNA	5	2047103	2047112	208	9	-
ef_5_43481	RNA	5	2047138	2047178	132	40	-
ef_5_43483	RNA	5	2047298	2047393	260	95	-
AT5G07960.1	protein_coding_gene	5	2542246	2543459	+	1214	1
vf_5_72028	RNA	5	2542443	2542500	173	57	-
AT5G11500.1	protein_coding_gene	5	3676548	3679352	+	2805	5
vf_5_121624	RNA	5	3676748	3676850	328	102	-
vf_5_121626	RNA	5	3677884	3678003	279	119	-
vf_5_121627	RNA	5	3678153	3678262	150	109	-
vf_5_121629	RNA	5	3678644	3678679	176	35	-
vf_5_121633	RNA	5	3678925	3678945	183	20	-
AT5G14390.1	protein_coding_gene	5	4637312	4639756	-	2445	4
vf_5_132279	RNA	5	4638159	4638178	234	19	-
vf_5_132280	RNA	5	4638294	4638329	156	35	-
vf_5_132283	RNA	5	4638615	4638638	306	23	-
vf_5_132284	RNA	5	4639310	4639341	204	31	-
AT5G14680.1	protein_coding_gene	5	4730907	4733081	-	2175	2
ef_5_133139	RNA	5	4732040	4732131	103	91	-
vf_5_133143	RNA	5	4732925	4732968	188	43	-
AT5G17550.1	protein_coding_gene	5	5786510	5788239	-	1730	4
vf_5_141598	RNA	5	5786775	5786793	255	18	-
ef_5_141599	RNA	5	5786836	5786937	149	101	-
vf_5_141599	RNA	5	5786899	5786959	250	60	-
vf_5_141601	RNA	5	5787096	5787189	215	93	-
AT5G23040.1	protein_coding_gene	5	7729317	7731036	-	1720	2
vf_5_158872	RNA	5	7729864	7729877	621	13	-
vf_5_158873	RNA	5	7729991	7730000	232	9	-
AT5G23130.1	protein_coding_gene	5	7781196	7783601	+	2406	2
vf_5_159328	RNA	5	7781724	7781739	209	15	-
ef_5_159339	RNA	5	7782820	7782835	116	15	-
AT5G23670.1	protein_coding_gene	5	7981641	7985398	+	3758	1
vf_5_160813	RNA	5	7982116	7982151	155	35	-
AT5G38110.1	protein_coding_gene	5	15208470	15210215	+	1746	1
vf_5_20244	RNA	5	15209424	15209456	256	32	-
AT5G38650.1	protein_coding_gene	5	15470961	15472815	-	1855	2
vf_5_21492	RNA	5	15471221	15471235	153	14	-
vf_5_21493	RNA	5	15471259	15471271	185	12	-
AT5G41520.1	protein_coding_gene	5	16609153	16610692	-	1540	3
vf_5_29036	RNA	5	16610013	16610024	266	11	-
ef_5_29038	RNA	5	16610172	16610274	248	102	-
vf_5_29040	RNA	5	16610417	16610431	500	14	-
AT5G41940.1	protein_coding_gene	5	16781947	16785576	+	3630	9
vf_5_30217	RNA	5	16783544	16783596	210	52	-
ef_5_30228	RNA	5	16784766	16784804	115	38	-
vf_5_30230	RNA	5	16784947	16785012	154	65	-
vf_5_30233	RNA	5	16785105	16785133	238	28	-
ef_5_30233	RNA	5	16785117	16785126	105	9	-
vf_5_30235	RNA	5	16785174	16785196	363	22	-
ef_5_30236	RNA	5	16785241	16785248	112	7	-
vf_5_30236	RNA	5	16785287	16785295	358	8	-
