chromosome	start	end	id	score@@peak	strand
chr1	1613272	1613382	ds_1900	6.98149@@1613286	-
chr1	1617713	1617792	ds_1910	4.26911@@1617769	-
chr1	1621665	1621717	ds_1923	3.85707@@1621692	-
chr1	1649687	1649752	ds_1960	4.31327@@1649715	-
chr1	1698450	1698520	ds_2019	3.85707@@1698483	-
chr1	1729072	1729135	ds_2047	4.10946@@1729078	-
chr1	1772407	1772461	ds_2080	4.6598@@1772424	-
chr1	1802402	1802460	ds_2091	3.85707@@1802423	-
chr1	1816228	1816296	ds_2120	3.85707@@1816248	-
chr1	1820303	1820359	ds_2126	4.43822@@1820322	-
chr1	1821428	1821479	ds_2135	3.85707@@1821442	-
chr1	1881917	1882010	ds_2195	5.65811@@1881949	-
chr1	1882084	1882150	ds_2197	6.09842@@1882130	-
chr1	1882178	1882235	ds_2198	9.08541@@1882213	-
chr1	1892632	1892726	ds_2206	3.85707@@1892685	-
chr1	1913667	1913757	ds_2225	3.85707@@1913684	-
chr1	1952595	1952655	ds_2260	3.85707@@1952638	-
chr1	1961038	1961092	ds_2270	3.85707@@1961088	-
chr1	1975921	1975971	ds_2298	6.17239@@1975922	-
chr1	1994231	1994291	ds_2308	3.85707@@1994254	-
chr1	2003986	2004100	ds_2316	3.85707@@2004006	-
chr1	2006198	2006259	ds_2326	3.85707@@2006203	-
chr1	2038441	2038494	ds_2354	4.43822@@2038458	-
chr1	2061545	2061720	ds_2382	4.43822@@2061593	-
chr1	2070774	2070827	ds_2403	6.78104@@2070795	-
chr1	2107339	2107410	ds_2442	6.28525@@2107396	-
chr1	2111094	2111160	ds_2446	6.42796@@2111145	-
chr1	2134135	2134198	ds_2481	5.43592@@2134145	-
chr1	2134699	2134750	ds_2483	4.43822@@2134726	-
chr1	2135107	2135176	ds_2486	4.85192@@2135113	-
chr1	2135539	2135611	ds_2487	4.85192@@2135574	-
chr1	2157671	2157723	ds_2502	4.43822@@2157675	-
chr1	2189335	2189439	ds_2531	8.05966@@2189357	-
chr1	2258158	2258216	ds_2594	3.85707@@2258195	-
chr1	2313856	2313913	ds_2653	4.43822@@2313907	-
chr1	2331331	2331390	ds_2669	4.43822@@2331367	-
chr1	2332723	2332785	ds_2674	3.85707@@2332770	-
chr1	2404900	2404951	ds_2755	3.85707@@2404914	-
chr1	2415785	2415836	ds_2777	3.99339@@2415818	-
chr1	2421236	2421318	ds_2783	4.85192@@2421313	-
chr1	2507259	2507333	ds_2878	3.85707@@2507296	-
chr1	2509041	2509097	ds_2884	3.85707@@2509060	-
chr1	2531511	2531623	ds_2902	5.63522@@2531558	-
chr1	2532898	2532967	ds_2912	4.07765@@2532941	-
chr1	2534516	2534588	ds_2924	4.31327@@2534537	-
chr1	2534667	2534734	ds_2925	4.62765@@2534711	-
chr1	2538075	2538194	ds_2927	4.26674@@2538134	-
chr1	2574928	2574990	ds_2963	3.85707@@2574973	-
chr1	2587338	2587429	ds_2986	9.37197@@2587414	-
chr1	2587947	2588001	ds_2990	8.7858@@2587975	-
chr1	2634662	2634717	ds_3016	3.85707@@2634665	-
chr1	2692428	2692489	ds_3067	4.85192@@2692464	-
chr1	2793483	2793551	ds_3156	6.77755@@2793524	-
chr1	2799954	2800004	ds_3197	4.17653@@2799961	-
chr1	2921148	2921202	ds_3296	3.85707@@2921165	-
chr1	2936832	2936929	ds_3312	3.85707@@2936834	-
chr1	2942696	2942756	ds_3320	3.85707@@2942719	-
chr1	2942825	2942883	ds_3321	3.85707@@2942846	-
chr1	3062028	3062100	ds_3440	6.02046@@3062071	-
chr1	3063059	3063151	ds_3445	4.72672@@3063092	-
chr1	3063584	3063660	ds_3447	6.94493@@3063624	-
chr1	3073470	3073531	ds_3454	6.49559@@3073500	-
chr1	3073696	3073746	ds_3457	4.4882@@3073724	-
chr1	3114288	3114376	ds_3501	4.85192@@3114347	-
chr1	3148253	3148311	ds_3554	3.85707@@3148274	-
chr1	3166346	3166417	ds_3583	4.85192@@3166380	-
chr1	3190950	3191016	ds_3602	4.43822@@3190979	-
chr1	3211211	3211303	ds_3633	4.43822@@3211272	-
chr1	3292213	3292265	ds_3721	3.85707@@3292235	-
chr1	3358696	3358750	ds_3791	3.85707@@3358713	-
chr1	3361039	3361101	ds_3798	4.93447@@3361082	-
chr1	3413103	3413170	ds_3843	6.02046@@3413148	-
chr1	3427903	3427972	ds_3867	5.85062@@3427935	-
chr1	3443134	3443188	ds_3880	3.85707@@3443170	-
chr1	3443252	3443322	ds_3881	4.85192@@3443258	-
chr1	3497867	3497918	ds_3911	9.73808@@3497898	-
chr1	3515408	3515468	ds_3930	3.85707@@3515441	-
chr1	3546814	3546924	ds_3955	4.82599@@3546880	-
chr1	3546941	3547016	ds_3956	5.25263@@3546958	-
chr1	3547658	3547748	ds_3959	5.5106@@3547727	-
chr1	3569176	3569260	ds_3972	4.43822@@3569199	-
chr1	3589959	3590011	ds_4008	3.85707@@3589965	-
chr1	3604496	3604547	ds_4027	3.85707@@3604510	-
chr1	3605998	3606065	ds_4029	3.85707@@3606028	-
chr1	3609455	3609516	ds_4036	5.85062@@3609497	-
chr1	3619255	3619329	ds_4059	3.85707@@3619255	-
chr1	3656498	3656554	ds_4100	4.43822@@3656517	-
chr1	3730243	3730339	ds_4149	7.59792@@3730273	-
chr1	3751941	3752007	ds_4163	4.43822@@3751950	-
chr1	3780828	3780942	ds_4192	6.16493@@3780908	-
chr1	3785344	3785458	ds_4214	6.16493@@3785424	-
chr1	3822064	3822138	ds_4265	3.85707@@3822101	-
chr1	3892166	3892225	ds_4324	6.05736@@3892183	-
chr1	3919994	3920073	ds_4360	5.55128@@3920022	-
chr1	3933223	3933333	ds_4380	4.8787@@3933268	-
chr1	3971615	3971676	ds_4402	3.85707@@3971641	-
chr1	3980041	3980233	ds_4416	6.89468@@3980056	-
chr1	3980323	3980389	ds_4418	4.6598@@3980368	-
chr1	3993395	3993449	ds_4434	3.85707@@3993412	-
chr1	4007236	4007330	ds_4441	5.62084@@4007305	-
chr1	4007347	4007397	ds_4442	4.47942@@4007392	-
chr1	4013603	4013658	ds_4448	3.85707@@4013621	-
chr1	4051568	4051620	ds_4503	5.17322@@4051583	-
chr1	4052050	4052118	ds_4504	4.43822@@4052054	-
chr1	4061406	4061472	ds_4513	5.43592@@4061456	-
chr1	4061718	4061796	ds_4517	4.8933@@4061736	-
chr1	4061816	4061874	ds_4518	6.02046@@4061832	-
chr1	4068836	4069013	ds_4528	8.94119@@4068939	-
chr1	4094212	4094293	ds_4556	5.76754@@4094232	-
chr1	4110255	4110322	ds_4563	3.85707@@4110300	-
chr1	4110423	4110524	ds_4565	4.58008@@4110512	-
chr1	4110536	4110636	ds_4566	5.83855@@4110557	-
chr1	4111109	4111189	ds_4570	6.59314@@4111140	-
chr1	4112475	4112529	ds_4575	3.7911@@4112508	-
chr1	4115870	4115952	ds_4583	3.85707@@4115929	-
chr1	4180518	4180592	ds_4616	3.85707@@4180522	-
chr1	4184806	4184866	ds_4630	4.152@@4184829	-
chr1	4209284	4209340	ds_4659	5.52729@@4209307	-
chr1	4209454	4209592	ds_4661	5.13565@@4209487	-
chr1	4227988	4228038	ds_4693	3.85707@@4227989	-
chr1	4234649	4234704	ds_4700	3.85707@@4234655	-
chr1	4236661	4236711	ds_4703	4.43822@@4236674	-
chr1	4238565	4238624	ds_4712	4.43822@@4238599	-
chr1	4266984	4267061	ds_4728	4.80703@@4267027	-
chr1	4278359	4278460	ds_4737	4.43822@@4278377	-
chr1	4279685	4279744	ds_4743	3.85707@@4279711	-
chr1	4279938	4279988	ds_4746	3.85707@@4279958	-
chr1	4293152	4293287	ds_4767	7.75711@@4293216	-
chr1	4294132	4294196	ds_4769	8.98378@@4294153	-
chr1	4295526	4295586	ds_4773	4.152@@4295549	-
chr1	4305650	4305745	ds_4794	5.17322@@4305708	-
chr1	4312583	4312652	ds_4796	5.2662@@4312608	-
chr1	4330016	4330081	ds_4819	3.85707@@4330034	-
chr1	4334251	4334304	ds_4840	5.02148@@4334267	-
chr1	4364971	4365036	ds_4867	3.85707@@4364999	-
chr1	4369032	4369094	ds_4871	5.55128@@4369046	-
chr1	4406119	4406186	ds_4945	4.39937@@4406168	-
chr1	4409285	4409336	ds_4966	3.6932@@4409316	-
chr1	4441212	4441302	ds_4994	4.43822@@4441244	-
chr1	4442430	4442493	ds_5000	4.43822@@4442456	-
chr1	4472052	4472105	ds_5023	3.85707@@4472068	-
chr1	4478305	4478399	ds_5028	3.85707@@4478331	-
chr1	4479292	4479348	ds_5033	4.17653@@4479311	-
chr1	4482771	4482838	ds_5046	4.85192@@4482818	-
chr1	4493913	4494044	ds_5070	6.7572@@4494007	-
chr1	4494067	4494162	ds_5071	7.24257@@4494082	-
chr1	4505906	4506098	ds_5088	9.71438@@4505992	-
chr1	4506548	4506702	ds_5093	9.43515@@4506632	-
chr1	4506745	4506816	ds_5094	5.43592@@4506756	-
chr1	4506829	4506889	ds_5095	4.43822@@4506844	-
chr1	4564589	4564666	ds_5132	3.85707@@4564590	-
chr1	4567272	4567322	ds_5138	4.85192@@4567300	-
chr1	4609991	4610044	ds_5197	3.85707@@4610007	-
chr1	4610369	4610437	ds_5199	6.24276@@4610385	-
chr1	4619219	4619301	ds_5208	6.43534@@4619249	-
chr1	4619326	4619524	ds_5209	9.30962@@4619480	-
chr1	4620142	4620193	ds_5211	8.13561@@4620169	-
chr1	4620385	4620937	ds_5214	7.86516@@4620657	-
chr1	4621111	4621165	ds_5215	4.85192@@4621142	-
chr1	4621468	4621536	ds_5218	3.85707@@4621484	-
chr1	4633915	4633976	ds_5242	5.78664@@4633959	-
chr1	4637119	4637193	ds_5246	3.85707@@4637154	-
chr1	4638940	4639006	ds_5250	3.85707@@4638969	-
chr1	4670998	4671068	ds_5275	3.85707@@4671031	-
chr1	4694865	4694925	ds_5316	4.43822@@4694888	-
chr1	4708304	4708436	ds_5332	3.85707@@4708413	-
chr1	4708485	4708580	ds_5333	7.30968@@4708557	-
chr1	4715676	4715732	ds_5338	7.08366@@4715723	-
chr1	4720124	4720229	ds_5342	5.17322@@4720189	-
chr1	4720254	4720472	ds_5343	7.40175@@4720376	-
chr1	4721115	4721235	ds_5346	5.65811@@4721175	-
chr1	4738832	4739105	ds_5357	9.02012@@4738912	-
chr1	4748291	4748342	ds_5381	3.85707@@4748305	-
chr1	4779763	4779813	ds_5410	3.85707@@4779776	-
chr1	4800339	4800405	ds_5427	3.85707@@4800360	-
chr1	4817278	4817352	ds_5446	4.43822@@4817287	-
chr1	4825555	4825608	ds_5461	3.85707@@4825571	-
chr1	4891551	4891610	ds_5526	3.85707@@4891575	-
chr1	4896648	4896708	ds_5529	4.51591@@4896685	-
chr1	4911669	4911749	ds_5535	4.85192@@4911704	-
chr1	4928009	4928072	ds_5559	3.85707@@4928071	-
chr1	4932554	4932621	ds_5565	3.85707@@4932596	-
chr1	4933240	4933311	ds_5572	3.85707@@4933259	-
chr1	4949493	4949554	ds_5588	3.85707@@4949517	-
chr1	4962528	4962581	ds_5602	3.85707@@4962544	-
chr1	4964037	4964116	ds_5606	4.17653@@4964056	-
chr1	4966307	4966461	ds_5608	8.05966@@4966356	-
chr1	4966585	4966647	ds_5611	5.28694@@4966594	-
chr1	4966980	4967094	ds_5613	7.11705@@4967026	-
chr1	4969484	4969536	ds_5623	4.66684@@4969519	-
chr1	4993118	4993174	ds_5640	3.85707@@4993151	-
chr1	5008346	5008407	ds_5645	3.85707@@5008359	-
chr1	5012521	5012599	ds_5664	5.43592@@5012577	-
chr1	5015623	5015694	ds_5672	4.85192@@5015658	-
chr1	5052221	5052290	ds_5688	3.85707@@5052230	-
chr1	5056035	5056151	ds_5703	6.60523@@5056056	-
chr1	5056179	5056242	ds_5704	6.78891@@5056226	-
chr1	5066947	5067003	ds_5714	3.85707@@5066967	-
chr1	5098394	5098470	ds_5751	4.79067@@5098414	-
chr1	5099469	5099530	ds_5762	6.1579@@5099512	-
chr1	5105715	5105785	ds_5794	4.43822@@5105748	-
chr1	5108272	5108336	ds_5801	3.85707@@5108330	-
chr1	5110858	5110938	ds_5813	3.85707@@5110938	-
chr1	5170211	5170270	ds_5892	3.90642@@5170235	-
chr1	5206409	5206466	ds_5934	3.85707@@5206440	-
chr1	5207793	5207851	ds_5935	3.85707@@5207830	-
chr1	5260947	5261056	ds_6010	3.85707@@5260983	-
chr1	5285219	5285282	ds_6053	6.02689@@5285259	-
chr1	5298098	5298148	ds_6062	4.395@@5298111	-
chr1	5310836	5310891	ds_6084	3.85707@@5310872	-
chr1	5312358	5312424	ds_6088	3.85707@@5312371	-
chr1	5359099	5359150	ds_6124	7.11079@@5359126	-
chr1	5391427	5391505	ds_6135	6.02046@@5391461	-
chr1	5391531	5391598	ds_6136	6.41234@@5391578	-
chr1	5437002	5437066	ds_6204	7.96572@@5437033	-
chr1	5447457	5447536	ds_6216	4.16437@@5447521	-
chr1	5658741	5658849	ds_6347	6.49728@@5658751	-
chr1	5659155	5659242	ds_6348	4.90243@@5659173	-
chr1	5679263	5679342	ds_6365	4.08494@@5679320	-
chr1	5679461	5679550	ds_6367	8.17813@@5679488	-
chr1	5681739	5681810	ds_6375	3.93894@@5681753	-
chr1	5683522	5683588	ds_6379	3.85707@@5683551	-
chr1	5693064	5693118	ds_6398	6.89468@@5693070	-
chr1	5694808	5694885	ds_6403	5.43592@@5694862	-
chr1	5699963	5700139	ds_6412	8.65774@@5699986	-
chr1	5700163	5700216	ds_6413	4.75637@@5700187	-
chr1	5700903	5701078	ds_6418	9.15768@@5701036	-
chr1	5743189	5743241	ds_6454	4.85192@@5743216	-
chr1	5786636	5786695	ds_6506	3.85707@@5786658	-
chr1	5843913	5843974	ds_6536	4.90084@@5843929	-
chr1	5857504	5857557	ds_6554	3.85707@@5857520	-
chr1	5867010	5867095	ds_6570	8.47469@@5867024	-
chr1	5899671	5899724	ds_6603	5.3112@@5899705	-
chr1	5958705	5958768	ds_6654	5.47541@@5958746	-
chr1	5958820	5958927	ds_6655	9.83715@@5958834	-
chr1	5958941	5959024	ds_6656	6.77314@@5958990	-
chr1	5959308	5959380	ds_6662	5.25263@@5959364	-
chr1	5959484	5959544	ds_6665	6.96159@@5959521	-
chr1	5970772	5970992	ds_6681	9.22813@@5970832	-
chr1	5971104	5971187	ds_6682	5.85062@@5971115	-
chr1	5971587	5971638	ds_6685	6.17239@@5971620	-
chr1	5971866	5972260	ds_6688	9.74096@@5972183	-
chr1	5972513	5972714	ds_6689	7.24257@@5972543	-
chr1	5974892	5975062	ds_6693	6.37396@@5975022	-
chr1	5975551	5975704	ds_6696	6.49422@@5975683	-
chr1	6009562	6009661	ds_6725	4.85192@@6009617	-
chr1	6010721	6010780	ds_6729	4.43822@@6010758	-
chr1	6013000	6013070	ds_6739	6.8503@@6013013	-
chr1	6071330	6071399	ds_6773	5.43592@@6071362	-
chr1	6075255	6075314	ds_6777	3.88781@@6075291	-
chr1	6125554	6125625	ds_6847	4.43822@@6125557	-
chr1	6125665	6125723	ds_6848	3.85707@@6125699	-
chr1	6136195	6136248	ds_6862	3.85707@@6136211	-
chr1	6141486	6141544	ds_6872	4.07765@@6141521	-
chr1	6152459	6152510	ds_6880	4.43822@@6152459	-
chr1	6156519	6156574	ds_6892	3.89764@@6156553	-
chr1	6156675	6156760	ds_6893	4.94933@@6156696	-
chr1	6157406	6157571	ds_6895	5.63437@@6157518	-
chr1	6157587	6157809	ds_6896	7.65849@@6157651	-
chr1	6158625	6158768	ds_6901	6.47272@@6158643	-
chr1	6158798	6158868	ds_6902	7.01613@@6158808	-
chr1	6165448	6165499	ds_6913	3.85707@@6165462	-
chr1	6189812	6189877	ds_6935	3.85707@@6189840	-
chr1	6197784	6197976	ds_6961	9.22523@@6197860	-
chr1	6198042	6198104	ds_6962	7.20781@@6198061	-
chr1	6210908	6210965	ds_6977	4.2125@@6210942	-
chr1	6210979	6211047	ds_6978	3.73284@@6211025	-
chr1	6211515	6211569	ds_6984	4.43822@@6211533	-
chr1	6235795	6235967	ds_7025	6.79047@@6235876	-
chr1	6236108	6236203	ds_7027	5.43592@@6236183	-
chr1	6236555	6236637	ds_7029	5.01551@@6236603	-
chr1	6259898	6259954	ds_7049	3.85707@@6259917	-
chr1	6263171	6263339	ds_7057	5.95769@@6263259	-
chr1	6273539	6273606	ds_7066	3.66302@@6273556	-
chr1	6273618	6273735	ds_7067	5.58246@@6273632	-
chr1	6275863	6275935	ds_7084	3.66652@@6275884	-
chr1	6276014	6276081	ds_7085	4.62765@@6276058	-
chr1	6276197	6276272	ds_7087	3.85707@@6276249	-
chr1	6302974	6303029	ds_7135	4.95365@@6302986	-
chr1	6338296	6338350	ds_7172	3.85707@@6338313	-
chr1	6377839	6377889	ds_7196	4.35613@@6377861	-
chr1	6379454	6379558	ds_7202	5.02148@@6379505	-
chr1	6379572	6379639	ds_7203	4.85192@@6379588	-
chr1	6379672	6379797	ds_7204	7.09819@@6379747	-
chr1	6380677	6380757	ds_7206	5.75757@@6380681	-
chr1	6380907	6380969	ds_7207	5.43592@@6380918	-
chr1	6404555	6404613	ds_7226	3.97867@@6404563	-
chr1	6404805	6404871	ds_7229	4.38458@@6404814	-
chr1	6429761	6429834	ds_7244	3.85707@@6429797	-
chr1	6430121	6430180	ds_7245	4.43822@@6430143	-
chr1	6455521	6455623	ds_7261	3.6823@@6455534	-
chr1	6465795	6465869	ds_7276	3.93773@@6465811	-
chr1	6466303	6466372	ds_7281	8.71606@@6466371	-
chr1	6470422	6470491	ds_7283	9.03672@@6470431	-
chr1	6486418	6486479	ds_7302	4.43822@@6486442	-
chr1	6504081	6504143	ds_7318	4.43822@@6504119	-
chr1	6524852	6524941	ds_7337	4.85192@@6524913	-
chr1	6538438	6538608	ds_7346	7.07488@@6538460	-
chr1	6543394	6543532	ds_7370	7.07488@@6543416	-
chr1	6559951	6560013	ds_7375	4.90645@@6559976	-
chr1	6575354	6575416	ds_7395	4.6598@@6575367	-
chr1	6589591	6589663	ds_7415	4.68694@@6589613	-
chr1	6589722	6589778	ds_7416	4.67343@@6589736	-
chr1	6592549	6592612	ds_7431	5.17322@@6592564	-
chr1	6594017	6594069	ds_7436	6.55079@@6594046	-
chr1	6610521	6610589	ds_7447	3.85707@@6610552	-
chr1	6659166	6659221	ds_7490	4.17653@@6659185	-
chr1	6704213	6704384	ds_7528	6.52681@@6704238	-
chr1	6709183	6709261	ds_7553	7.07488@@6709205	-
chr1	6709659	6709718	ds_7556	7.00909@@6709698	-
chr1	6715445	6715553	ds_7561	7.17219@@6715452	-
chr1	6722929	6723072	ds_7564	6.28783@@6723047	-
chr1	6723270	6723347	ds_7567	4.85192@@6723329	-
chr1	6742995	6743062	ds_7603	4.16241@@6743039	-
chr1	6743676	6743747	ds_7609	4.02556@@6743697	-
chr1	6752954	6753011	ds_7619	3.85707@@6752974	-
chr1	6756727	6756823	ds_7626	4.17653@@6756746	-
chr1	6759037	6759095	ds_7634	6.65768@@6759072	-
chr1	6759598	6759681	ds_7635	7.85021@@6759625	-
chr1	6791688	6791744	ds_7661	4.61812@@6791711	-
chr1	6804032	6804092	ds_7687	4.43822@@6804076	-
chr1	6804444	6804506	ds_7691	5.65811@@6804483	-
chr1	6818928	6819010	ds_7723	3.85707@@6818993	-
chr1	6857268	6857327	ds_7758	4.43822@@6857301	-
chr1	6859252	6859327	ds_7767	4.43822@@6859267	-
chr1	6896720	6896793	ds_7786	3.85707@@6896773	-
chr1	6897084	6897153	ds_7788	3.85707@@6897122	-
chr1	6898318	6898403	ds_7794	3.85707@@6898366	-
chr1	6939629	6939686	ds_7853	5.17322@@6939659	-
chr1	6947758	6947906	ds_7867	6.65768@@6947824	-
chr1	6948347	6948407	ds_7870	5.74865@@6948370	-
chr1	6948423	6948507	ds_7871	6.17239@@6948444	-
chr1	6989576	6989665	ds_7902	3.85707@@6989628	-
chr1	6995300	6995354	ds_7913	4.00272@@6995317	-
chr1	6999345	6999396	ds_7920	4.85192@@6999368	-
chr1	7003871	7003928	ds_7935	5.17322@@7003900	-
chr1	7024139	7024201	ds_7970	4.82162@@7024178	-
chr1	7026420	7026470	ds_7977	6.27912@@7026442	-
chr1	7026557	7026720	ds_7979	7.3738@@7026602	-
chr1	7039103	7039173	ds_7999	5.17322@@7039146	-
chr1	7052398	7052452	ds_8023	4.43822@@7052417	-
chr1	7065522	7065739	ds_8038	5.3619@@7065622	-
chr1	7065753	7065823	ds_8039	5.56599@@7065794	-
chr1	7066151	7066213	ds_8045	6.30985@@7066159	-
chr1	7066411	7066479	ds_8047	5.31054@@7066435	-
chr1	7066496	7066552	ds_8048	7.09819@@7066506	-
chr1	7067511	7067562	ds_8062	7.09819@@7067547	-
chr1	7068110	7068188	ds_8065	4.43822@@7068170	-
chr1	7069172	7069233	ds_8075	8.05966@@7069179	-
chr1	7069606	7069665	ds_8082	5.17322@@7069623	-
chr1	7070255	7070320	ds_8089	6.43534@@7070300	-
chr1	7072874	7072935	ds_8121	3.85707@@7072887	-
chr1	7073373	7073430	ds_8126	6.65768@@7073412	-
chr1	7073443	7073496	ds_8127	4.85192@@7073459	-
chr1	7074335	7074393	ds_8136	6.02046@@7074348	-
chr1	7074427	7074479	ds_8137	4.43822@@7074464	-
chr1	7074817	7074881	ds_8143	4.85192@@7074854	-
chr1	7075191	7075242	ds_8148	3.85707@@7075197	-
chr1	7075483	7075610	ds_8153	4.42678@@7075547	-
chr1	7075624	7075694	ds_8154	5.56599@@7075665	-
chr1	7077849	7077899	ds_8157	6.73936@@7077869	-
chr1	7121741	7121798	ds_8208	3.85707@@7121761	-
chr1	7138340	7138451	ds_8233	6.55079@@7138358	-
chr1	7138766	7138823	ds_8237	6.43534@@7138803	-
chr1	7159967	7160024	ds_8251	3.85707@@7160004	-
chr1	7176121	7176200	ds_8262	7.09709@@7176200	-
chr1	7242729	7242792	ds_8306	6.09869@@7242758	-
chr1	7255214	7255296	ds_8321	3.75946@@7255235	-
chr1	7256718	7256776	ds_8332	4.04605@@7256765	-
chr1	7257008	7257121	ds_8335	7.00019@@7257079	-
chr1	7257154	7257218	ds_8336	6.02046@@7257166	-
chr1	7281811	7281871	ds_8362	6.80519@@7281827	-
chr1	7313141	7313194	ds_8430	8.30963@@7313174	-
chr1	7344409	7344538	ds_8440	6.86739@@7344521	-
chr1	7352989	7353049	ds_8442	5.38706@@7353011	-
chr1	7353220	7353300	ds_8444	4.56527@@7353263	-
chr1	7353555	7353608	ds_8447	4.95921@@7353588	-
chr1	7353645	7353735	ds_8448	6.47152@@7353719	-
chr1	7361059	7361112	ds_8494	3.65288@@7361072	-
chr1	7361778	7361850	ds_8501	5.15389@@7361837	-
chr1	7362444	7362505	ds_8504	4.01492@@7362482	-
